date,actual,model,period,forecast,error,abs_error,pct_error
2025-04-05,48.60874394377525,Random Forest,Test,49.95586917071977,-1.3471252269445202,1.3471252269445202,2.771363992665008
2025-04-06,57.335061408381165,Random Forest,Test,54.45172511184,2.8833362965411666,2.8833362965411666,5.028923359833856
2025-04-07,53.6369784376327,Random Forest,Test,48.68185408087732,4.955124356755377,4.955124356755377,9.238261552180893
2025-04-08,49.02649414664202,Random Forest,Test,49.07695736365576,-0.05046321701373557,0.05046321701373557,0.10293050297008022
2025-04-09,42.71692745376957,Random Forest,Test,46.76498642787006,-4.048058974100492,4.048058974100492,9.476475054254562
2025-04-10,43.89873989577115,Random Forest,Test,45.49311801189006,-1.5943781161189108,1.5943781161189108,3.6319450624424423
2025-04-11,51.77006543526879,Random Forest,Test,46.19811980260522,5.571945632663571,5.571945632663571,10.762871527814676
2025-04-12,52.02369392114974,Random Forest,Test,55.065477817508366,-3.0417838963586235,3.0417838963586235,5.846920253238717
2025-04-13,50.39315706234826,Random Forest,Test,58.15393135506302,-7.760774292714764,7.760774292714764,15.400452650967768
2025-04-14,42.40993036633363,Random Forest,Test,47.43684975385178,-5.026919387518149,5.026919387518149,11.85316586020306
2025-04-15,52.418490739323445,Random Forest,Test,44.123168678771904,8.295322060551541,8.295322060551541,15.825182952718121
2025-04-16,50.42439628672368,Random Forest,Test,48.722567255591905,1.7018290311317728,1.7018290311317728,3.3750112176947376
2025-04-17,59.54871349203886,Random Forest,Test,49.54311134565915,10.005602146379708,10.005602146379708,16.802381713447712
2025-04-18,64.71774193548387,Random Forest,Test,56.14628275449886,8.57145918098501,8.57145918098501,13.244373064699579
2025-04-19,65.46773695585058,Random Forest,Test,62.11856048321553,3.349176472635051,3.349176472635051,5.115766373433119
2025-04-20,65.65799191901638,Random Forest,Test,63.378055891278755,2.2799360277376266,2.2799360277376266,3.472442517812205
2025-04-21,64.23384324510141,Random Forest,Test,54.6503777336443,9.583465511457113,9.583465511457113,14.919651428747363
2025-04-22,57.00532221431237,Random Forest,Test,55.6055844102856,1.3997378040267705,1.3997378040267705,2.455451087118559
2025-04-23,52.52184577648321,Random Forest,Test,53.640256148027326,-1.1184103715441154,1.1184103715441154,2.1294193968424593
2025-04-24,61.28286973704212,Random Forest,Test,54.629444456734156,6.653425280307964,6.653425280307964,10.856908804788453
2025-04-25,64.33000150308133,Random Forest,Test,60.76469570849772,3.5653057945836153,3.5653057945836153,5.542213137384804
2025-04-26,63.33380483763412,Random Forest,Test,65.84103694732869,-2.50723210969457,2.50723210969457,3.958758069442129
2025-04-27,63.66512258501865,Random Forest,Test,64.90599354992199,-1.240870964903337,1.240870964903337,1.949059256496794
2025-04-28,57.44899587003919,Random Forest,Test,56.21053590558831,1.2384599644508825,1.2384599644508825,2.1557556327921206
2025-04-29,59.97736639416255,Random Forest,Test,55.182397158642424,4.794969235520128,4.794969235520128,7.9946311813831334
2025-04-30,62.101052702046815,Random Forest,Test,57.59170874788814,4.509343954158673,4.509343954158673,7.261300345090685
2025-05-01,67.44866859159448,Random Forest,Test,60.10446911664866,7.344199474945825,7.344199474945825,10.888575902684408
2025-05-02,66.12098414769893,Random Forest,Test,63.377811163592426,2.743172984106508,2.743172984106508,4.148717717175679
2025-05-03,68.98988217450012,Random Forest,Test,66.68573639994922,2.3041457745509035,2.3041457745509035,3.3398314389389645
2025-05-04,73.22511207220018,Random Forest,Test,67.03380261827867,6.191309453921505,6.191309453921505,8.455172383781203
2025-05-05,62.61121322034452,Random Forest,Test,58.38351458441609,4.2276986359284265,4.2276986359284265,6.752302692251143
2025-05-06,57.51624594849197,Random Forest,Test,56.28202352308596,1.23422242540601,1.23422242540601,2.1458674937013518
2025-05-07,58.57731477882298,Random Forest,Test,54.636824637513634,3.940490141309347,3.940490141309347,6.726990057819998
2025-05-08,57.68793968263983,Random Forest,Test,56.73679797538141,0.9511417072584223,0.9511417072584223,1.648770457899802
2025-05-09,53.50070662565467,Random Forest,Test,58.13818745871653,-4.637480833061858,4.637480833061858,8.668073985471608
2025-05-10,64.13657756537224,Random Forest,Test,59.79811002982176,4.338467535550478,4.338467535550478,6.764420086382729
2025-05-11,64.28179991475369,Random Forest,Test,66.24707252240363,-1.9652726076499363,1.9652726076499363,3.057276881257451
2025-05-12,58.13670972709386,Random Forest,Test,56.86374688494795,1.2729628421459083,1.2729628421459083,2.1896024871745716
2025-05-13,54.41981455769937,Random Forest,Test,55.31057431658516,-0.8907597588857925,0.8907597588857925,1.6368298314235379
2025-05-14,55.77774534131272,Random Forest,Test,55.53235660010348,0.24538874120923992,0.24538874120923992,0.4399402301180658
2025-05-15,60.26974055741951,Random Forest,Test,57.11712460704741,3.152615950372102,3.152615950372102,5.230843738855284
2025-05-16,67.72891062351202,Random Forest,Test,60.8224178776361,6.906492745875923,6.906492745875923,10.197259460243469
2025-05-17,66.48946573028715,Random Forest,Test,67.49120265910338,-1.0017369288162286,1.0017369288162286,1.506609983722458
2025-05-18,71.2302287976507,Random Forest,Test,67.12933267622644,4.100896121424256,4.100896121424256,5.7572412592889375
2025-05-19,62.47632730359824,Random Forest,Test,58.72414141103442,3.7521858925638227,3.7521858925638227,6.00577219325074
2025-05-20,48.688476727568904,Random Forest,Test,56.99836047132155,-8.309883743752643,8.309883743752643,17.067454770149613
2025-05-21,61.24191299716466,Random Forest,Test,51.715672901642975,9.526240095521686,9.526240095521686,15.555098835600917
2025-05-22,62.644859962061446,Random Forest,Test,59.34141033625287,3.3034496258085753,3.3034496258085753,5.2732971672523306
2025-05-23,61.29702396289615,Random Forest,Test,61.46278278291469,-0.1657588200185387,0.1657588200185387,0.2704190339140683
2025-05-24,72.13755018256464,Random Forest,Test,65.40726932718441,6.730280855380229,6.730280855380229,9.32978849205072
2025-05-25,74.41657621336641,Random Forest,Test,66.99211118708484,7.424465026281567,7.424465026281567,9.976896820668314
2025-05-26,64.48308918750736,Random Forest,Test,56.478531619513284,8.004557567994077,8.004557567994077,12.413421361867448
2025-05-27,58.0579141436352,Random Forest,Test,55.286309440644374,2.771604702990828,2.771604702990828,4.773862002919846
2025-05-28,61.74098212557269,Random Forest,Test,54.0734679755565,7.667514150016196,7.667514150016196,12.418840591847928
2025-05-29,68.51007065101037,Random Forest,Test,58.952713201740764,9.557357449269603,9.557357449269603,13.950295713391814
2025-05-30,71.85299367191305,Random Forest,Test,62.521211226437885,9.33178244547517,9.33178244547517,12.987325883852371
2025-05-31,68.42948717948718,Random Forest,Test,66.19754149357946,2.231945685907718,2.231945685907718,3.261672384089967
2025-06-01,65.32214652980159,Random Forest,Test,66.09503850326487,-0.7728919734632882,0.7728919734632882,1.1832005139492403
2025-06-02,66.4764516248564,Random Forest,Test,56.98706637992341,9.489385244932983,9.489385244932983,14.274807112876614
2025-06-03,61.614784758765005,Random Forest,Test,57.12496722707328,4.4898175316917275,4.4898175316917275,7.286915874607562
2025-06-04,54.10254518627813,Random Forest,Test,57.80365756405256,-3.701112377774429,3.701112377774429,6.840921004790604
2025-06-05,54.31043169092139,Random Forest,Test,56.077419898636094,-1.7669882077147037,1.7669882077147037,3.2534968931393635
2025-06-06,59.48745665000225,Random Forest,Test,57.05443625999079,2.433020390011464,2.433020390011464,4.08997211685528
2025-06-07,68.59570041608876,Random Forest,Test,62.76423765854134,5.8314627575474205,5.8314627575474205,8.501207396636891
2025-06-08,74.7433943555939,Random Forest,Test,66.79740079690045,7.945993558693459,7.945993558693459,10.631031179678782
2025-06-09,62.45035897276166,Random Forest,Test,57.432769103879,5.017589868882666,5.017589868882666,8.034525263611595
2025-06-10,54.843055173312855,Random Forest,Test,56.31977369429498,-1.476718520982125,1.476718520982125,2.6926262884433725
2025-06-11,50.0989795349356,Random Forest,Test,53.870628675882855,-3.771649140947254,3.771649140947254,7.528395140897359
2025-06-12,50.04743115608285,Random Forest,Test,53.952008320814244,-3.9045771647313927,3.9045771647313927,7.801753405792584
2025-06-13,53.14035521150731,Random Forest,Test,55.62424259303187,-2.4838873815245606,2.4838873815245606,4.674201690294094
2025-06-14,59.29209193860111,Random Forest,Test,60.12482541536477,-0.8327334767636572,0.8327334767636572,1.4044595991417874
2025-06-15,59.95878328249939,Random Forest,Test,61.58879693833236,-1.6300136558329683,1.6300136558329683,2.7185569262689366
2025-06-16,49.616347071103704,Random Forest,Test,56.79629126381488,-7.179944192711176,7.179944192711176,14.47092463784529
2025-06-17,49.48863879498481,Random Forest,Test,52.15295270956002,-2.66431391457521,2.66431391457521,5.383688012944928
2025-06-18,53.61127255716371,Random Forest,Test,50.06187359490108,3.5493989622626287,3.5493989622626287,6.620620613842054
2025-06-19,49.74284436493739,Random Forest,Test,53.989527823096374,-4.246683458158984,4.246683458158984,8.537275084237795
2025-06-20,50.5484868090001,Random Forest,Test,54.40097460617052,-3.8524877971704186,3.8524877971704186,7.621371163349023
2025-06-21,61.84573908469228,Random Forest,Test,57.961184502289775,3.884554582402508,3.884554582402508,6.2810383381189006
2025-06-22,61.16382383590194,Random Forest,Test,62.67608742472083,-1.5122635888188967,1.5122635888188967,2.4724804532760887
2025-06-23,49.12016509105106,Random Forest,Test,53.9700632861484,-4.849898195097346,4.849898195097346,9.87353805938434
2025-06-24,47.49775012716674,Random Forest,Test,48.18802400242633,-0.6902738752595923,0.6902738752595923,1.453276993987099
2025-06-25,43.70421046084956,Random Forest,Test,47.541448649776086,-3.837238188926527,3.837238188926527,8.780019472869654
2025-06-26,41.63480215497758,Random Forest,Test,44.58532700958037,-2.95052485460279,2.95052485460279,7.08667917676185
2025-06-27,46.217037398252,Random Forest,Test,46.188963789438304,0.028073608813699025,0.028073608813699025,0.06074298655664331
