alpha,lambda,validation_RMSE,validation_MAE,validation_MAPE,model
0.5,0.11659733983357903,5.6166799687107165,4.297955234295629,9.695034660721241,Elastic Net
0.5,0.10623915351849819,5.612586591687571,4.2966976413769515,9.696860433597827,Elastic Net
0.5,0.09680115992729138,5.608589428101539,4.295519453113307,9.697950157145632,Elastic Net
0.5,0.08820161167452707,5.604674295919782,4.294154468427709,9.697772032353294,Elastic Net
0.5,0.0803660235871902,5.603055614522287,4.29358390308012,9.699275439491418,Elastic Net
0.5,0.07322652754974664,5.601855870585031,4.293448402095234,9.701538589156616,Elastic Net
0.5,0.06672128466299394,5.601197706027577,4.293942346996515,9.70476140640345,Elastic Net
0.5,0.06079394962509969,5.600765742251255,4.294558976639873,9.707883735460898,Elastic Net
0.5,0.055393182695552046,5.600690841688697,4.295255774466662,9.711100124581971,Elastic Net
0.5,0.05047220501488802,5.601010033171315,4.296144970428838,9.714067642549663,Elastic Net
0.5,0.04598839342859139,5.601365941013346,4.299844819648979,9.72664503263949,Elastic Net
0.5,0.041902911305718785,5.604079640258337,4.305663774886185,9.742413250480231,Elastic Net
0.5,0.03818037215458162,5.606140541452692,4.310530151760981,9.755112827174598,Elastic Net
0.5,0.03478853312188367,5.608729408477773,4.315491998525687,9.76775094747917,Elastic Net
0.5,0.03169801572055052,5.610859133363052,4.319853921755044,9.778706337270878,Elastic Net
0.5,0.028882051367328913,5.613028835718253,4.324038992062439,9.789219092397214,Elastic Net
0.5,0.026316249526124547,5.615163250124255,4.328015403815931,9.799216283278472,Elastic Net
0.5,0.02397838644884658,5.61722898612377,4.331675947653989,9.80841484743303,Elastic Net
0.5,0.021848212683933346,5.619187461400272,4.335481286819848,9.817973132204223,Elastic Net
0.5,0.0199072776852901,5.621080843053347,4.339681223343661,9.828772424024297,Elastic Net
0.5,0.018138770002485302,5.622938780014385,4.343584720106603,9.838620476974487,Elastic Net
0.5,0.01652737166800947,5.624456742152847,4.34675457625258,9.84658600714693,Elastic Net
0.5,0.015059125520368559,5.626032969202877,4.349814483084676,9.854255134300193,Elastic Net
0.5,0.013721314313828116,5.627468800397787,4.35253428864882,9.861074561085633,Elastic Net
0.5,0.01250235056771454,5.628978347710785,4.354995718990763,9.867172742058418,Elastic Net
0.5,0.01139167620120083,5.630228386339011,4.356938305030388,9.871960969655856,Elastic Net
0.5,0.010379671084261376,5.631447888081745,4.358629216045651,9.87600628366634,Elastic Net
0.5,0.009457569712707843,5.633329358293001,4.360798121589901,9.881098629041176,Elastic Net
0.5,0.008617385285585253,5.6341438022495,4.361980677852733,9.883965472291193,Elastic Net
0.5,0.007851840527322922,5.636460834172031,4.364355746713118,9.889469788169267,Elastic Net
0.5,0.00715430465545485,5.636677208639222,4.364711104339573,9.890281680713596,Elastic Net
0.75,10.764937791753562,15.258711023231754,12.486372367142824,25.023249992882654,Elastic Net
0.75,9.808610387745968,14.523889292543801,11.873352796963985,23.82295525111068,Elastic Net
0.75,8.937240474561635,13.842462780322432,11.310363893173836,22.731443687341468,Elastic Net
0.75,8.143280662868483,13.21344116646722,10.792480048515568,21.735510422667346,Elastic Net
0.75,7.419854052601215,12.610863266944287,10.291344884628673,20.780475166844365,Elastic Net
0.75,6.760694668542806,11.96199902475015,9.74842102179229,19.76932108349852,Elastic Net
0.75,6.160093187444757,11.341043272751534,9.225710846909996,18.796147187957928,Elastic Net
0.75,5.612847486600414,10.786102202066518,8.759917006610229,17.936238317967376,Elastic Net
0.75,5.114217585546729,10.292806536227818,8.343115359908456,17.171622664409625,Elastic Net
0.75,4.659884590621061,9.855676272603189,7.9685544987443695,16.48720127490945,Elastic Net
